date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2017-03-28,203.53028869628906,Range,0,0.0,1000000.0,-0.45456988521087016,0.14957137991164296,7.3793381591146705,0.0,0.0
2017-03-29,203.72055053710938,Range,0,0.0,1000000.0,-0.4915526202499155,0.1774511733996906,5.818480649405901,0.0,0.0
2017-03-30,204.36924743652344,Range,0,0.0,1000000.0,-0.42269507334904,0.32234534185254343,4.397206069340649,0.0,0.0
2017-03-31,203.89352416992188,Range,0,0.0,1000000.0,-0.24285471129262537,0.14153847614283238,12.924022585417307,0.0,0.0
2017-04-03,203.53890991210938,Range,0,0.0,1000000.0,-0.3770711777621292,0.14217617222386505,11.102802828010567,0.0,0.0
2017-04-04,203.6686248779297,Range,0,0.0,1000000.0,-0.3849128705335385,0.15606161556075204,10.085951766027254,0.0,0.0
2017-04-05,203.06320190429688,Range,0,0.0,1000000.0,-0.622480990919628,0.13455076452208525,6.9145556486230495,0.0,0.0
2017-04-06,203.6340789794922,Range,0,0.0,1000000.0,-0.5211261892417833,0.17663274023198047,6.898225840878373,0.0,0.0
2017-04-07,203.42648315429688,Range,0,0.0,1000000.0,-0.7018179163981122,0.16216089647954193,4.208354831772404,0.0,0.0
2017-04-10,203.54757690429688,Range,0,0.0,1000000.0,-0.8429243500426618,0.14728023399785736,1.8798062597567036,0.0,0.0
2017-04-11,203.30532836914062,Range,0,0.0,1000000.0,-0.4096995341506837,0.1311763858890617,11.693969575398848,0.0,0.0
2017-04-12,202.41453552246094,Range,0,0.0,1000000.0,-0.6621223473577724,0.10333400921082472,7.871987790698268,0.0,0.0
2017-04-13,201.0998992919922,Range,0,0.0,1000000.0,-0.9278684649903597,0.038774714813086905,2.2433035205263736,0.0,0.0
2017-04-17,202.88162231445312,Range,0,0.0,1000000.0,-0.64793990409445,0.12337308177119148,6.613465768314114,0.0,0.0
2017-04-18,202.27618408203125,Range,0,0.0,1000000.0,-0.8450276369432459,0.07971047584903634,3.2026579206860983,0.0,0.0
2017-04-19,201.90423583984375,Range,0,0.0,1000000.0,-0.9561397689121973,0.035227853720771155,0.941526166830754,0.0,0.0
